;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
4596;5510;17.0;25.0;29.0;584272.0;32.93;12;17.0;193529.0;0;0;2;0;0;0;390743.0;13024.766666666665;26.0;2014;0;0;21;0;4;10;5;348407.7354765545;354195.0145666767;28.630300939908953;383292.923074868;0
7925;3203;54.0;46.0;134.0;260000.0;32.88;24;210.0;85695.0;0;0;3;0;0;0;174305.0;5810.166666666668;48.0;2014;1;1;24;0;0;49;11;437856.5656846549;354195.0145666767;31.611336366096918;335714.0872005772;0
8733;5033;65.0;51.0;115.0;479260.4;18.42;18;78.0;88662.0;0;0;1;3;1;0;390598.4;13019.946666666667;52.5;2014;1;1;26;1;0;7;4;437856.5656846549;462765.74141768547;30.76080107132262;407503.0181769909;0
3594;3693;2.0;44.0;181.0;280347.6;32.647873368575;60;8.0;92452.04993923;0;1;0;3;0;0;187895.55006077;6263.185002025666;49.0;2017;0;1;59;0;3;11;11;437856.5656846549;462765.74141768547;30.86250662982543;335054.05065637076;0
12206;3952;24.0;45.0;25.0;275800.0;23.21;18;24.0;64283.0;0;0;0;0;0;0;211517.0;7050.5666666666675;46.5;2013;0;1;21;2;0;0;2;437856.5656846549;354195.0145666767;30.76080107132262;383292.923074868;0
11375;6353;78.0;52.0;59.0;1245561.2;19.8;24;85.0;247211.0;0;0;0;3;1;0;998350.2;33278.34;54.0;2014;3;1;6;1;0;5;15;437856.5656846549;462765.74141768547;31.611336366096918;354968.68031732173;0
3469;3565;1.0;44.0;11.0;358337.0;32.939074907987;18;14.0;119225.14429599;0;1;0;3;0;1;239111.85570401;7970.395190133667;45.5;2017;0;1;29;0;0;10;11;437856.5656846549;462765.74141768547;30.76080107132262;383142.03691812354;0
7447;6851;56.0;39.0;169.0;983189.8;17.9;36;58.0;175785.0;1;1;0;3;1;0;807404.8;26913.493333333336;42.0;2013;1;0;14;1;2;4;11;348407.7354765545;462765.74141768547;31.286291191230358;386436.1494382022;0
2510;2582;6.0;28.0;13.0;462004.99;29.437665405574002;12;18.0;137377.25566995;0;1;2;1;0;0;324627.73433004995;10820.924477668332;29.0;2017;0;0;1;2;4;10;11;348407.7354765545;313671.6793187913;28.630300939908953;354620.2513569526;0
12168;7232;63.0;53.0;74.0;1790946.0;30.31;36;66.0;542286.0;0;0;0;2;0;0;1248660.0;41622.0;56.0;2013;1;1;12;0;2;2;33;437856.5656846549;636429.0148717947;31.286291191230358;387693.48423541867;0
8942;3330;26.0;34.0;164.0;270000.0;32.98;36;26.0;88947.0;0;1;0;1;1;0;181053.0;6035.1;37.0;2014;2;0;0;0;2;3;2;348407.7354765545;313671.6793187913;31.286291191230358;393959.18270769244;0
11537;47;28.0;29.0;53.0;100000.0;32.97;18;28.0;33106.0;0;0;0;0;0;0;66894.0;2229.8;30.5;2013;2;0;22;0;0;3;11;348407.7354765545;354195.0145666767;30.76080107132262;335757.89816463424;0
11565;6547;47.0;37.0;66.0;1800000.0;20.95;24;51.0;378065.0;0;0;0;1;0;0;1421935.0;47397.83333333334;39.0;2014;2;0;2;2;0;8;33;348407.7354765545;313671.6793187913;31.611336366096918;380339.13418342744;0
7417;4539;30.0;52.0;31.0;325300.0;32.6;24;69.0;106301.0;0;1;4;1;0;0;218999.0;7299.966666666666;54.0;2013;2;1;4;0;0;29;11;437856.5656846549;313671.6793187913;31.611336366096918;367332.77090690075;0
12474;3449;24.0;42.0;62.0;235944.0;32.82;24;25.0;77629.0;0;0;0;1;0;0;158315.0;5277.166666666667;44.0;2013;0;1;2;0;0;3;2;437856.5656846549;313671.6793187913;31.611336366096918;380339.13418342744;0
18451;2090;43.0;41.0;59.0;170000.0;32.99;24;43.0;56216.0;1;1;0;1;1;0;113784.0;3792.8;43.0;2013;2;1;6;0;0;9;1;437856.5656846549;313671.6793187913;31.611336366096918;354968.68031732173;0
6769;225;30.0;24.0;45.0;110000.0;32.92;24;30.0;36294.0;0;0;2;1;0;0;73706.0;2456.866666666667;26.0;2013;2;0;7;0;0;3;1;348407.7354765545;313671.6793187913;31.611336366096918;344747.6512061669;0
2854;2937;3.0;46.0;201.0;206883.0;32.816485904256;24;10.0;68577.505589194;0;0;0;0;0;0;138305.494410806;4610.183147026866;48.0;2017;0;1;11;0;0;11;11;437856.5656846549;354195.0145666767;31.611336366096918;364285.7979054053;0
