;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;istest;label
14170;14170;2055;2111;6.0;36.0;55.0;1600000.0;29.431912085005003;60;14.0;470910.59336008;0;1;0;3;0;0;1129089.40663992;37636.313554664;41.0;2017;0;0;6;2;3;10;11;348407.7354765545;462765.74141768547;30.86250662982543;354968.68031732173;0;1
2139;2139;6977;7292;63.0;44.0;63.0;2269000.0;19.75;18;301.0;448127.5;0;0;0;0;0;0;1820872.5;60695.75;45.5;2013;1;1;2;1;0;60;39;437856.5656846549;354195.0145666767;30.76080107132262;380339.13418342726;1;3
2258;2258;9453;20;249.0;61.0;353.0;1078932.53;23.38;18;251.0;252254.425514;0;0;4;3;1;0;826678.1044859999;27555.9368162;62.5;2012;4;2;32;2;0;19;6;871493.5023711338;462765.74141768547;30.76080107132262;629290.5772631578;2;1
11348;11348;12877;7048;360.0;54.0;100.0;1254000.0;22.45;36;363.0;281523.0;0;1;0;3;2;0;972477.0;32415.9;57.0;2013;4;1;10;2;2;56;15;437856.5656846549;462765.74141768547;31.286291191230358;325603.0885557085;0;1
21517;21517;8793;6299;66.0;39.0;133.0;1153133.6;29.91;36;117.0;344902.25976000004;0;0;0;3;1;0;808231.3402399999;26941.04467466667;42.0;2014;1;0;24;2;2;16;16;348407.7354765545;462765.74141768547;31.286291191230358;335714.0872005772;0;1
3726;3726;13293;4157;29.0;37.0;43.0;1158000.0;29.82;24;29.0;345315.6;0;1;0;2;0;0;812684.4;27089.48;39.0;2012;2;0;7;2;0;3;16;348407.7354765545;636429.0148717947;31.61133636609692;344747.6512061669;1;1
2685;2685;5032;5335;55.0;33.0;79.0;1446262.0;32.71;60;93.0;473072.30020000006;0;0;0;2;0;0;973189.6998;32439.65666;38.0;2012;1;0;25;0;3;20;21;348407.7354765545;636429.0148717947;30.86250662982543;405378.0481848188;0;1
3234;3234;6804;2780;64.0;44.0;96.0;2300000.0;19.79;23;64.0;455170.0;0;0;0;2;1;0;1844830.0;61494.33333333334;45.91666666666666;2011;1;1;27;1;0;2;11;437856.5656846549;636429.0148717947;31.991199586500336;369619.3079726029;0;3
2969;2969;13854;7302;30.0;32.0;31.0;2446000.0;24.09;12;77.0;589241.4;0;1;0;1;0;0;1856758.6;61891.95333333334;33.0;2013;2;0;4;2;4;7;24;348407.7354765545;313671.6793187913;28.630300939908953;367332.77090690075;1;5
1730;1730;2335;2399;28.0;46.0;105.0;1410721.6;32.439968821573004;60;102.0;457637.6471991959;0;1;0;3;1;0;953083.9528008044;31769.46509336014;51.0;2017;2;1;28;0;3;26;11;437856.5656846549;462765.74141768547;30.86250662982543;331852.0351742628;2;1
