"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
32,8;50;38;27;48;2013;338446,8;25;"marie";"cap";"cdi";111010,5504;1;"fonctionnaire";96,32
32,67;113;45;79;30;2013;203820;73;"marie";"cap_rechargeable";"cdi";66587,994;0;"entreprise_privée_à_renseigner";94,23
16,97;31;34;61;24;2014;581400;55;"marie";"cap";"cdi";98663,58;0;"entreprise_privée_connue";94,83
29,74;10;42;1;36;2011;607823;1;"marie";"cap";"cdi";180766,5602;0;"entreprise_privée_connue";74,12
32,96;55;48;4;24;2011;138600;3;"celibataire";"cap";"cdi";45682,56;0;"entreprise_privée_connue";85,28
32,57;408;54;71;60;2013;349790;69;"celibataire";"cap_rechargeable";"cdi";113926,603;0;"fonctionnaire";95,96
32,72;28;44;14;24;2014;130660;13;"marie";"cap";"cdi";42751,952;0;"entreprise_privée_à_renseigner";88,36
32,75;46;28;30;36;2013;132600;30;"marie";"cap";"cdi";43426,5;0;"entreprise_privée_à_favoriser";87,38
32,92;70;36;2;36;2012;90706,84;2;"marie";"cap";"cdi";29860,691728;1;"entreprise_privée_connue";92,4
32,97;86;55;97;24;2013;1248446,95;97;"marie";"cap_rechargeable";"cdi";411612,959415;0;"entreprise_privée_à_favoriser";98,17
32,96;12;34;3;24;2012;159200;3;"marie";"cap";"cdi";52472,32;0;"entreprise_privée_connue";64,4
31,93;150;38;54;24;2011;3e+05;25;"marie";"cap_rechargeable";"cdi";95790;0;"entreprise_privée_à_renseigner";93,69
32,35;269;48;25;48;2011;162181;25;"marie";"cap_rechargeable";"cdi";52465,5535;0;"entreprise_privée_connue";90,7
33;46;32;3;24;2011;160000;1;"marie";"cap";"cdi";52800;0;"entreprise_privée_à_renseigner";80,01
32,92;126;40;36;24;2014;252100;36;"marie";"cap_rechargeable";"cdi";82991,32;0;"entreprise_privée_connue";95,46
32,79;59;36;2;24;2011;197513;1;"marie";"cap";"cdi";64764,5127;1;"entreprise_privée_à_renseigner";86,62
32,66;67;47;17;24;2012;104934;17;"divorce";"cap_rechargeable";"cdi";34271,4444;0;"entreprise_privée_connue";90,53
32,9;158;46;67;48;2013;242938;64;"marie";"cap_rechargeable";"cdi";79926,602;1;"entreprise_privée_connue";94,58
32,95;213;52;73;38;2011;333674;44;"marie";"cap_rechargeable";"cdi";109945,583;0;"entreprise_privée_connue";97,11
32,06;91;31;17;24;2012;121990;17;"marie";"cap_rechargeable";"cdi";39109,994;0;"entreprise_privée_connue";90,38
32,9;9;38;2;24;2012;106997,38;2;"concubinage";"cap";"cdi";35202,13802;0;"entreprise_privée_à_renseigner";82,44
32,68;197;44;95;60;2014;247339,4;65;"marie";"cap";"cdi";80830,51592;0;"fonctionnaire";96,3
32,55;28;42;18;46;2014;466440,44;16;"concubinage";"cap";"cdi";151826,36322;0;"entreprise_privée_à_favoriser";93,08
32,82;116;35;100;24;2014;475000;36;"marie";"cap_rechargeable";"cdi";155895;0;"entreprise_privée_à_renseigner";97,74
32,71;64;41;41;24;2012;136818;40;"concubinage";"cap";"cdi";44753,1678;0;"entreprise_privée_à_favoriser";92,54
32,96;70;31;69;50;2013;598474,4;64;"marie";"cap_rechargeable";"cdi";197257,16224;0;"fonctionnaire";97,19
32,47;182;42;87;60;2014;332000;83;"marie";"cap_rechargeable";"cdi";107800,4;0;"fonctionnaire";98,09
32,7;46;48;29;24;2011;127945,04;25;"marie";"cap";"cdi";41838,02808;0;"entreprise_privée_connue";81,05
26,45;61;47;113;48;2014;538000;66;"marie";"cap_rechargeable";"cdi";142301;0;"fonctionnaire";98,44
32,83;72;37;35;47;2012;440000;20;"marie";"cap";"cdi";144452;0;"fonctionnaire";96,41
32,62;88;36;4;48;2011;304073;1;"marie";"cap";"cdi";99188,6126;0;"fonctionnaire";94,09
32,92;165;61;321;17;2011;1114446;44;"marie";"cap";"cdi";366875,6232;0;"entreprise_privée_connue";93,54
28,11;17;41;68;9;2012;1290000;68;"marie";"cap";"cdd";362619;0;"entreprise_privée_à_favoriser";97,11
32,969197143952;435;58;102;24;2017;580742;96;"marie";"cap_rechargeable";"cdi";191465,97487773;0;"fonctionnaire";96,43
32,66;30;45;30;24;2012;100100;30;"concubinage";"cap";"cdi";32692,66;0;"entreprise_privée_à_favoriser";89,31
32,75;22;24;22;24;2014;430000;21;"marie";"cap";"cdi";140825;0;"entreprise_privée_connue";91,13
32,57;76;41;26;48;2011;137200;26;"marie";"cap_rechargeable";"cdi";44686,04;0;"entreprise_privée_connue";86,74
19,41;393;60;383;24;2011;1783476;25;"marie";"cap_rechargeable";"cdi";346172,6916;0;"entreprise_privée_à_renseigner";99,43
32,85;168;36;35;24;2014;131661,4;33;"marie";"cap_rechargeable";"cdi";43250,7699;0;"entreprise_privée_à_renseigner";91,95
32,999895755221;187;43;92;60;2017;288260;28;"concubinage";"cap_rechargeable";"cdi";95125,499504;0;"fonctionnaire";95,91
14,03;329;53;106;48;2014;346862;105;"marie";"cap";"cdi";48664,7386;0;"fonctionnaire";88,61
25,61;13;48;5;12;2012;329316;2;"marie";"cap";"cdd";84337,8276;1;"fonctionnaire";96,17
32,97;115;32;114;48;2013;280000;113;"marie";"cap_rechargeable";"cdi";92316;0;"entreprise_privée_connue";98,17
32,83;113;37;3;24;2012;110279,4;3;"veuf(ve)";"cap";"cdi";36204,72702;0;"entreprise_privée_à_renseigner";91,03
32,77;42;31;3;36;2011;107000;23;"marie";"cap";"cdi";35063,9;1;"entreprise_privée_connue";77,52
32,68;37;35;26;24;2014;246200;26;"marie";"cap_rechargeable";"cdi";80458,16;0;"entreprise_privée_connue";88,58
32,78;342;57;63;60;2011;237772;45;"celibataire";"cap_rechargeable";"cdi";77941,6616;0;"fonctionnaire";96,73
32,07;48;39;107;48;2013;1212702,4;40;"marie";"cap_2";"cdi";388913,65968;0;"fonctionnaire";98,22
32,85;392;56;384;60;2012;302738;50;"veuf(ve)";"cap_rechargeable";"cdi";99449,433;0;"fonctionnaire";99,17
18,18;86;52;44;24;2013;217080;43;"marie";"cap_2";"cdi";39465,144;0;"entreprise_privée_connue";91,61
32,96;75;30;2;24;2012;184100;1;"celibataire";"cap";"cdi";60679,36;0;"entreprise_privée_connue";82,83
23,370347326752;253;53;117;30;2017;514410;28;"marie";"cap";"cdi";120219,403683545;0;"fonctionnaire";99,08
32,89;92;37;45;36;2014;230000;45;"marie";"cap";"cdi";75647;0;"entreprise_privée_connue";92,69
