;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
12395;2701;51.0;28.0;103.0;194542.4;32.96;24;52.0;64271.0;1;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;130271.4;4342.38;30.0;2013;0
9722;6307;56.0;26.0;42.0;606800.0;24.31;48;56.0;146875.0;0;NON;CELIBATAIRE;FAVORISER;CAP_Rechargeable;CDI;459925.0;15330.833333333336;30.0;2013;0
3612;1753;21.0;29.0;106.0;160000.0;31.76;24;22.0;50926.0;0;OUI;CONCUBINE;RENSEIGNER;CAP;CDI;109074.0;3635.8;31.0;2013;0
10441;1400;27.0;45.0;52.0;150800.0;32.38;24;27.0;48948.0;0;OUI;DIVORCE;CONNUE;CAP_Rechargeable;CDI;101852.0;3395.066666666666;47.0;2013;0
1694;1734;3.0;41.0;27.0;200000.0;32.867508419036;12;9.0;66399.00690714401;1;OUI;MARIE;CONNUE;CAP;CDI;133600.993092856;4453.366436428532;42.0;2017;0
2337;4649;27.0;40.0;55.0;333400.0;32.21;60;27.0;106652.0;0;OUI;MARIE;FAVORISER;CAP;CDI;226748.0;7558.266666666666;45.0;2013;0
2830;4511;33.0;24.0;28.0;323010.0;28.36;12;35.0;92157.0;1;NON;CONCUBINE;RENSEIGNER;CAP;CDI;230853.0;7695.1;25.0;2013;0
4479;6228;28.0;56.0;82.0;1038800.0;31.7;36;28.0;325372.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;713428.0;23780.93333333333;59.0;2014;0
1817;1859;11.0;32.0;49.0;139649.0;32.911496435316;36;17.0;46424.823895914014;0;NON;CONCUBINE;CONNUE;CAP;CDI;93224.176104086;3107.472536802866;35.0;2017;0
4042;5609;14.0;38.0;33.0;610179.59;32.97;24;14.0;201634.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;408545.59;13618.186333333333;40.0;2014;0
3790;1239;66.0;32.0;108.0;166300.0;32.96;24;107.0;54945.0;0;NON;CONCUBINE;RENSEIGNER;CAP;CDI;111355.0;3711.833333333334;34.0;2014;0
981;3530;33.0;25.0;49.0;293100.0;32.9;36;34.0;96330.0;0;OUI;CELIBATAIRE;CONNUE;CAP_Rechargeable;CDI;196770.0;6559.0;28.0;2014;0
7970;3750;12.0;52.0;66.0;311879.4;32.99;60;14.0;102136.0;0;NON;CONCUBINE;FONCTIONNAIRE;CAP;CDI;209743.4;6991.446666666668;57.0;2014;0
1568;1607;29.0;34.0;74.0;212393.0;32.905481104618;48;54.0;70594.887356092;0;OUI;MARIE;CONNUE;CAP_Rechargeable;CDI;141798.112643908;4726.6037547969345;38.0;2017;0
1409;1442;32.0;41.0;52.0;255400.0;32.877549633028;48;42.0;84817.436123993;0;OUI;MARIE;CONNUE;CAP_Rechargeable;CDI;170582.56387600699;5686.085462533566;45.0;2017;0
3090;5959;67.0;55.0;408.0;514000.0;32.69;54;69.0;164407.0;0;NON;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;349593.0;11653.1;59.5;2013;0
13352;6534;78.0;29.0;78.0;730226.0;32.43;60;112.0;231022.0;0;OUI;CELIBATAIRE;FAVORISER;CAP_Rechargeable;CDI;499204.0;16640.133333333335;34.0;2013;0
10226;2818;42.0;29.0;46.0;200000.0;32.69;24;42.0;65531.0;0;NON;MARIE;CONNUE;CAP;CDI;134469.0;4482.3;31.0;2013;0
2836;2919;0.0;41.0;212.0;189000.0;32.998771997104;48;24.0;62997.655630835;0;OUI;MARIE;CONNUE;CAP_Rechargeable;CDI;126002.344369165;4200.078145638833;45.0;2017;0
2840;2923;36.0;32.0;55.0;230000.0;32.981294413815;48;42.0;76623.209244217;0;OUI;MARIE;CONNUE;CAP_Rechargeable;CDI;153376.790755783;5112.559691859434;36.0;2017;0
12235;258;15.0;31.0;27.0;123000.0;32.91;24;16.0;40579.0;0;NON;MARIE;CONNUE;CAP;CDI;82421.0;2747.366666666667;33.0;2014;0
16687;4772;50.0;33.0;82.0;341168.0;32.99;36;50.0;112434.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;228734.0;7624.466666666666;36.0;2013;0
849;1249;58.0;29.0;101.0;167000.0;32.81;24;58.0;54917.0;0;OUI;CONCUBINE;CONNUE;CAP;CDI;112083.0;3736.1;31.0;2014;0
2791;2873;0.0;44.0;14.0;322890.6;32.825913219873;12;7.0;107062.41227386;0;OUI;CONCUBINE;FONCTIONNAIRE;CAP;CDD;215828.18772614;7194.272924204665;45.0;2017;0
3094;2367;24.0;41.0;60.0;210000.0;32.89;24;25.0;69219.0;0;OUI;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;140781.0;4692.7;43.0;2014;0
840;863;1.0;32.0;20.0;180000.0;32.168381912129;36;14.0;58487.967112962004;0;NON;MARIE;CONNUE;CAP;CDI;121512.032887038;4050.4010962346;35.0;2017;0
1718;396;39.0;39.0;58.0;119702.0;32.35;36;39.0;38683.0;0;NON;MARIE;CONNUE;CAP;CDI;81019.0;2700.633333333333;42.0;2013;0
13972;6280;28.0;33.0;42.0;1104000.0;31.32;22;28.0;346785.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;757215.0;25240.5;34.833333333333336;2014;0
946;972;2.0;34.0;32.0;224000.0;32.812756571959;24;9.0;74243.004768877;0;OUI;MARIE;CONNUE;CAP;CDI;149756.995231123;4991.899841037432;36.0;2017;0
12862;4513;22.0;26.0;82.0;323419.6;32.57;60;24.0;104568.0;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;218851.6;7295.053333333332;31.0;2013;0
14802;1794;18.0;34.0;106.0;188200.0;30.0;24;19.0;56584.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;131616.0;4387.2;36.0;2014;0
13465;4850;42.0;26.0;55.0;349000.0;32.92;60;35.0;21615.0;0;NON;MARIE;FONCTIONNAIRE;CAP2;CDI;327385.0;10912.833333333334;31.0;2013;0
15088;805;68.0;44.0;105.0;133069.17;32.96;18;70.0;44034.0;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;89035.17000000001;2967.8390000000004;45.5;2013;0
12805;6390;20.0;31.0;26.0;1332702.4;29.61;24;93.0;395538.0;0;NON;CONCUBINE;FONCTIONNAIRE;CAP;CDI;937164.4;31238.81333333333;33.0;2014;0
5108;6415;22.0;32.0;29.0;652097.8;31.77;24;41.0;207658.0;0;NON;DIVORCE;FONCTIONNAIRE;CAP;CDI;444439.8000000001;14814.660000000002;34.0;2013;0
3024;3111;48.0;41.0;54.0;528864.4;19.340542573279;22;114.0;103318.42872416;0;OUI;MARIE;FONCTIONNAIRE;CAP;CDI;425545.97127584;14184.865709194668;42.833333333333336;2017;0
13320;829;30.0;30.0;32.0;134781.0;32.94;24;31.0;44498.0;0;OUI;CELIBATAIRE;CONNUE;CAP;CDI;90283.0;3009.433333333333;32.0;2013;0
1037;6295;54.0;35.0;110.0;1140000.0;32.98;24;73.0;376804.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;763196.0;25439.866666666665;37.0;2014;0
1001;2605;24.0;37.0;51.0;189808.65;32.9;18;24.0;62697.0;0;OUI;MARIE;CONNUE;CAP;CDI;127111.65;4237.0549999999985;38.5;2013;0
16230;7003;27.0;26.0;34.0;1190000.0;29.85;24;27.0;355984.0;0;OUI;MARIE;FAVORISER;CAP;CDI;834016.0;27800.53333333333;28.0;2013;0
10708;4203;46.0;24.0;47.0;300000.0;32.94;48;46.0;98406.0;0;NON;CELIBATAIRE;CONNUE;CAP;CDI;201594.0;6719.8;28.0;2013;0
4724;1557;35.0;40.0;37.0;180000.0;32.97;24;50.0;59482.0;0;NON;CONCUBINE;RENSEIGNER;CAP;CDI;120518.0;4017.266666666667;42.0;2014;0
17751;2866;54.0;36.0;77.0;239588.0;32.88;12;65.0;79255.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;160333.0;5344.433333333333;37.0;2014;0
5371;4794;35.0;37.0;27.0;428424.67;32.93;24;36.0;141396.0;0;NON;MARIE;FAVORISER;CAP;CDI;287028.67;9567.622333333333;39.0;2014;0
16445;4957;39.0;31.0;49.0;460000.0;16.4;24;41.0;75613.0;0;NON;MARIE;CONNUE;CAP;CDI;384387.0;12812.9;33.0;2014;0
2467;1376;66.0;39.0;108.0;172100.0;32.73;24;118.0;56458.0;0;NON;MARIE;RENSEIGNER;CAP;CDD;115642.0;3854.733333333333;41.0;2014;0
17337;3067;21.0;37.0;39.0;209200.0;32.88;27;21.0;68879.0;0;NON;MARIE;FAVORISER;CAP;CDI;140321.0;4677.366666666667;39.25;2013;0
2598;2675;18.0;26.0;42.0;600000.0;32.570486686030996;36;29.0;197396.88900625;0;NON;MARIE;RENSEIGNER;CAP;CDI;402603.11099375;13420.103699791665;29.0;2017;0
442;455;8.0;33.0;18.0;191400.0;32.989254606861;24;16.0;63779.225573264004;0;OUI;MARIE;RENSEIGNER;CAP;CDI;127620.774426736;4254.025814224533;35.0;2017;0
4543;3692;33.0;27.0;49.0;306600.0;32.83;36;42.0;100549.0;0;OUI;CELIBATAIRE;CONNUE;CAP_Rechargeable;CDI;206051.0;6868.366666666668;30.0;2014;0
